config_name,config_id,domain,chunker,embedder,index,retriever,reranker,repacker,prompt,generator,n,n_scored,relevance,utilization,completeness,adherence,relevant_count,total_sentences,utilized_count,overlap_count,unsupported_count,scoring
grounded_complete_norerank.yaml,fixed|minilm|faiss|dense|none|reverse|grounded_complete|ollama,Biomedical,fixed,minilm,faiss,dense,none,reverse,grounded_complete,ollama,50,50,0.621824908564611,0.5211918486420775,0.7263636363636364,0.44,7.32,12.14,6.22,5.36,1.12,done
grounded_complete_rerank.yaml,fixed|minilm|faiss|dense|cross_encoder|reverse|grounded_complete|ollama,Biomedical,fixed,minilm,faiss,dense,cross_encoder,reverse,grounded_complete,ollama,50,50,0.5294647550517115,0.4740922708108063,0.7372063492063492,0.48,6.34,12.14,5.8,5.24,1.08,done
grounded_norerank.yaml,fixed|minilm|faiss|dense|none|reverse|grounded|ollama,Biomedical,fixed,minilm,faiss,dense,none,reverse,grounded,ollama,50,49,0.5196314532979176,0.26907558873770987,0.4487366375121477,0.40816326530612246,6.040816326530612,12.204081632653061,3.142857142857143,2.816326530612245,0.5918367346938775,done
extractive_norerank.yaml,fixed|minilm|faiss|dense|none|reverse|extractive|ollama,Biomedical,fixed,minilm,faiss,dense,none,reverse,extractive,ollama,50,50,0.533638931752204,0.19232046170204065,0.3012936507936508,0.44,6.18,12.14,2.1,1.78,0.42,done
grounded_bge_norerank.yaml,fixed|sentence_transformer|faiss|dense|none|reverse|grounded|ollama,Biomedical,fixed,sentence_transformer,faiss,dense,none,reverse,grounded,ollama,50,50,0.578476898832162,0.26965188142648094,0.42698412698412697,0.54,6.74,12.14,2.92,2.64,0.46,done
