config_name,config_id,domain,chunker,embedder,index,retriever,reranker,repacker,prompt,generator,n,n_scored,relevance,utilization,completeness,adherence,scoring
grounded_pooled_extractive.yaml,fixed|minilm|faiss|dense|none|reverse|extractive|ollama,GenKnowledge,fixed,minilm,faiss,dense,none,reverse,extractive,ollama,50,49,0.30352811903181937,0.10454741218324913,0.3022108843537415,0.4897959183673469,done
grounded_pooled_extractive.yaml,fixed|minilm|faiss|dense|none|reverse|extractive|ollama,CustomerSupport,fixed,minilm,faiss,dense,none,reverse,extractive,ollama,50,50,0.24496741693132995,0.04029288519511264,0.10440685045948203,0.54,done
