config_name,config_id,domain,chunker,embedder,index,retriever,reranker,repacker,summarizer,prompt,generator,n,n_scored,relevance,utilization,completeness,adherence,scoring
grounded_pooled_compress_emb.yaml,fixed|minilm|faiss|dense|none|reverse|extractive_embedding|grounded|ollama,GenKnowledge,fixed,minilm,faiss,dense,none,reverse,extractive_embedding,grounded,ollama,50,50,0.4072433613170455,0.16803425521846574,0.3473015873015873,0.4,done
grounded_pooled_compress_emb.yaml,fixed|minilm|faiss|dense|none|reverse|extractive_embedding|grounded|ollama,CustomerSupport,fixed,minilm,faiss,dense,none,reverse,extractive_embedding,grounded,ollama,50,50,0.26789858508619363,0.09205958435861893,0.19697619047619047,0.56,done
