config_name,config_id,domain,chunker,embedder,index,retriever,reranker,repacker,summarizer,prompt,generator,n,n_scored,relevance,utilization,completeness,adherence,scoring
grounded_pooled_sac_nosum.yaml,sac|minilm|faiss|dense|none|reverse|none|grounded|ollama,GenKnowledge,sac,minilm,faiss,dense,none,reverse,none,grounded,ollama,50,50,0.3984208877814993,0.0949059735641352,0.2016269841269841,0.5,done
grounded_pooled_sac_nosum.yaml,sac|minilm|faiss|dense|none|reverse|none|grounded|ollama,CustomerSupport,sac,minilm,faiss,dense,none,reverse,none,grounded,ollama,50,49,0.28575327565018405,0.12686386910727676,0.3285714285714286,0.5306122448979592,done
