config_name,config_id,domain,chunker,embedder,index,retriever,reranker,repacker,prompt,generator,n,n_scored,relevance,utilization,completeness,adherence,scoring
grounded_pooled_complete_top3.yaml,fixed|minilm|faiss|dense|none|reverse|grounded_complete|ollama,GenKnowledge,fixed,minilm,faiss,dense,none,reverse,grounded_complete,ollama,50,50,0.40231082085891523,0.31286919183209355,0.6545098463627874,0.54,done
grounded_pooled_complete_top3.yaml,fixed|minilm|faiss|dense|none|reverse|grounded_complete|ollama,CustomerSupport,fixed,minilm,faiss,dense,none,reverse,grounded_complete,ollama,50,50,0.2694638727355698,0.1415865481371705,0.31784126984126987,0.32,done
