config_name,config_id,domain,chunker,embedder,index,retriever,reranker,repacker,prompt,generator,n,n_scored,relevance,utilization,completeness,adherence,scoring
grounded_pooled_norerank.yaml,fixed|minilm|faiss|dense|none|reverse|grounded|ollama,GenKnowledge,fixed,minilm,faiss,dense,none,reverse,grounded,ollama,50,50,0.3044510437683543,0.12753787752084292,0.3625,0.54,done
grounded_pooled_norerank.yaml,fixed|minilm|faiss|dense|none|reverse|grounded|ollama,CustomerSupport,fixed,minilm,faiss,dense,none,reverse,grounded,ollama,50,50,0.2049065985249041,0.06861069085283204,0.12143859649122808,0.5,done
grounded_pooled_top3.yaml,fixed|minilm|faiss|dense|none|reverse|grounded|ollama,GenKnowledge,fixed,minilm,faiss,dense,none,reverse,grounded,ollama,50,49,0.3848681700627742,0.1513235990892843,0.3366051182377713,0.40816326530612246,done
grounded_pooled_top3.yaml,fixed|minilm|faiss|dense|none|reverse|grounded|ollama,CustomerSupport,fixed,minilm,faiss,dense,none,reverse,grounded,ollama,50,50,0.2687481419826605,0.09402524522266868,0.14566666666666667,0.42,done
grounded_pooled_rerank.yaml,fixed|minilm|faiss|dense|cross_encoder|reverse|grounded|ollama,GenKnowledge,fixed,minilm,faiss,dense,cross_encoder,reverse,grounded,ollama,50,48,0.3368021117105194,0.08643856254834846,0.328206434088787,0.6041666666666666,done
grounded_pooled_rerank.yaml,fixed|minilm|faiss|dense|cross_encoder|reverse|grounded|ollama,CustomerSupport,fixed,minilm,faiss,dense,cross_encoder,reverse,grounded,ollama,50,50,0.1654639953096349,0.050705406264193134,0.10153679653679654,0.44,done
grounded_pooled_top3_rerank.yaml,fixed|minilm|faiss|dense|cross_encoder|reverse|grounded|ollama,GenKnowledge,fixed,minilm,faiss,dense,cross_encoder,reverse,grounded,ollama,50,50,0.4349773801018383,0.15911165996026677,0.3241098901098901,0.52,done
grounded_pooled_top3_rerank.yaml,fixed|minilm|faiss|dense|cross_encoder|reverse|grounded|ollama,CustomerSupport,fixed,minilm,faiss,dense,cross_encoder,reverse,grounded,ollama,50,50,0.3238736016446324,0.07628517059697881,0.07922222222222222,0.48,done
