config_name,config_id,domain,chunker,embedder,index,retriever,reranker,repacker,prompt,generator,n,n_scored,relevance,utilization,completeness,adherence,scoring
grounded_norerank.yaml,fixed|minilm|faiss|dense|none|reverse|grounded|ollama,GenKnowledge,fixed,minilm,faiss,dense,none,reverse,grounded,ollama,10,10,0.28541909071320837,0.20184065934065934,0.6333333333333333,0.6,done
grounded_norerank.yaml,fixed|minilm|faiss|dense|none|reverse|grounded|ollama,CustomerSupport,fixed,minilm,faiss,dense,none,reverse,grounded,ollama,10,10,0.32702242329468895,0.19616039763687654,0.3,0.3,done
grounded_rerank.yaml,fixed|minilm|faiss|dense|cross_encoder|reverse|grounded|ollama,GenKnowledge,fixed,minilm,faiss,dense,cross_encoder,reverse,grounded,ollama,10,10,0.3404980667480667,0.1473962148962149,0.425,0.8,done
grounded_rerank.yaml,fixed|minilm|faiss|dense|cross_encoder|reverse|grounded|ollama,CustomerSupport,fixed,minilm,faiss,dense,cross_encoder,reverse,grounded,ollama,10,10,0.35012244788290325,0.11164817931910394,0.1,0.4,done
minimal_norerank.yaml,fixed|minilm|faiss|dense|none|reverse|minimal|ollama,GenKnowledge,fixed,minilm,faiss,dense,none,reverse,minimal,ollama,10,10,0.4365592006033182,0.19536037491919844,0.3119047619047619,0.5,done
minimal_norerank.yaml,fixed|minilm|faiss|dense|none|reverse|minimal|ollama,CustomerSupport,fixed,minilm,faiss,dense,none,reverse,minimal,ollama,10,10,0.28015762775780384,0.12458821819524339,0.2020408163265306,0.3,done
minimal_rerank.yaml,fixed|minilm|faiss|dense|cross_encoder|reverse|minimal|ollama,GenKnowledge,fixed,minilm,faiss,dense,cross_encoder,reverse,minimal,ollama,10,9,0.46679668068556956,0.29235800208022433,0.4425925925925926,0.7777777777777778,done
minimal_rerank.yaml,fixed|minilm|faiss|dense|cross_encoder|reverse|minimal|ollama,CustomerSupport,fixed,minilm,faiss,dense,cross_encoder,reverse,minimal,ollama,10,10,0.2347251221612146,0.13584653218165438,0.36153846153846153,0.4,done
