config_name,config_id,domain,chunker,embedder,index,retriever,reranker,repacker,prompt,generator,n,n_scored,relevance,utilization,completeness,adherence,scoring,relevance_ref,relevance_gap,utilization_ref,utilization_gap,completeness_ref,completeness_gap,adherence_ref,adherence_gap
grounded_norerank.yaml,fixed|minilm|faiss|dense|none|reverse|grounded|ollama,GenKnowledge,fixed,minilm,faiss,dense,none,reverse,grounded,ollama,10,10,0.28541909071320837,0.20184065934065934,0.6333333333333333,0.6,done,0.41972988358407237,-0.134310792870864,0.27939831765971745,-0.07755765831905811,0.6566269841269842,-0.023293650793650866,0.9,-0.30000000000000004
grounded_norerank.yaml,fixed|minilm|faiss|dense|none|reverse|grounded|ollama,CustomerSupport,fixed,minilm,faiss,dense,none,reverse,grounded,ollama,10,10,0.32702242329468895,0.19616039763687654,0.3,0.3,done,0.11683517923988329,0.21018724405480566,0.08694543070731482,0.10921496692956172,0.5751372549019608,-0.2751372549019608,0.6,-0.3
grounded_rerank.yaml,fixed|minilm|faiss|dense|cross_encoder|reverse|grounded|ollama,GenKnowledge,fixed,minilm,faiss,dense,cross_encoder,reverse,grounded,ollama,10,10,0.3404980667480667,0.1473962148962149,0.425,0.8,done,0.41972988358407237,-0.07923181683600566,0.27939831765971745,-0.13200210276350255,0.6566269841269842,-0.23162698412698418,0.9,-0.09999999999999998
grounded_rerank.yaml,fixed|minilm|faiss|dense|cross_encoder|reverse|grounded|ollama,CustomerSupport,fixed,minilm,faiss,dense,cross_encoder,reverse,grounded,ollama,10,10,0.35012244788290325,0.11164817931910394,0.1,0.4,done,0.11683517923988329,0.23328726864301996,0.08694543070731482,0.024702748611789116,0.5751372549019608,-0.4751372549019608,0.6,-0.19999999999999996
minimal_norerank.yaml,fixed|minilm|faiss|dense|none|reverse|minimal|ollama,GenKnowledge,fixed,minilm,faiss,dense,none,reverse,minimal,ollama,10,10,0.4365592006033182,0.19536037491919844,0.3119047619047619,0.5,done,0.41972988358407237,0.016829317019245837,0.27939831765971745,-0.08403794274051901,0.6566269841269842,-0.34472222222222226,0.9,-0.4
minimal_norerank.yaml,fixed|minilm|faiss|dense|none|reverse|minimal|ollama,CustomerSupport,fixed,minilm,faiss,dense,none,reverse,minimal,ollama,10,10,0.28015762775780384,0.12458821819524339,0.2020408163265306,0.3,done,0.11683517923988329,0.16332244851792055,0.08694543070731482,0.03764278748792857,0.5751372549019608,-0.3730964385754302,0.6,-0.3
minimal_rerank.yaml,fixed|minilm|faiss|dense|cross_encoder|reverse|minimal|ollama,GenKnowledge,fixed,minilm,faiss,dense,cross_encoder,reverse,minimal,ollama,10,9,0.46679668068556956,0.29235800208022433,0.4425925925925926,0.7777777777777778,done,0.41972988358407237,0.04706679710149719,0.27939831765971745,0.012959684420506878,0.6566269841269842,-0.21403439153439158,0.9,-0.12222222222222223
minimal_rerank.yaml,fixed|minilm|faiss|dense|cross_encoder|reverse|minimal|ollama,CustomerSupport,fixed,minilm,faiss,dense,cross_encoder,reverse,minimal,ollama,10,10,0.2347251221612146,0.13584653218165438,0.36153846153846153,0.4,done,0.11683517923988329,0.11788994292133131,0.08694543070731482,0.048901101474339556,0.5751372549019608,-0.21359879336349924,0.6,-0.19999999999999996
